,food,store_name,addr,tel,re_rank1,re_rank2,re_rank3,re_rank4,re_rank5,re_visitor
21,간장게장,고미정,서울 서대문구 연희로26길 28,010-2105-0155,음식이 맛있어요 413,친절해요 157,재료가 신선해요 155,가성비가 좋아요 118,단체모임 하기 좋아요 96,고미정에 주말 점심시간에 방문해서 쌀밥 정식과 게장 정식을 먹었는데 너무 만족스러웠어요. 음식이 전체적으로 간이 딱 맞았고 특히 간장게장은 최고였어요. 야외에서 보는 뷰도 좋아서 즐거운 시간 보낼 수 있었습니다
22,간장게장,어촌,서울 강북구 도봉로 129 1층 어촌,0507-1397-0085,음식이 맛있어요 457,매장이 넓어요 209,친절해요 155,양이 많아요 119,매장이 청결해요 109,굴밥 생각나서 와봤어요지나가면서 늘 손님이 많아 궁금했었는데 왜 이제야 오게된건지..굴밥에 굴이 끊임없이 나오고 알도 톡톡터지니 식감이 더욱 좋았어요굴전도 맛있고 밑반찬들도 맛있는데 셀프로 얼마든지 추가로 가져다먹을수 있으니 더 좋았어요요새 굴이 너무 좋아지는데 아주 자주 올것 같아요~!!!
23,간장게장,신사꽃게당 압구정로데오점,서울 강남구 도산대로49길 13 지하1층,0507-1423-3777,음식이 맛있어요 99,재료가 신선해요 73,인테리어가 멋져요 51,친절해요 47,매장이 청결해요 33,압구정로데오 게장 꽃게탕 맛집. 신사꽂게당 입니다제대로 된 간장게장 이나 꽃게탕 드시고 싶을때 방문하시면됩니다 내부 분위기도 레스토랑급이라 고급스러워서 압구정 데이트하실때 방문하셔도 정말좋을것같네요게장이랑 꽃게탕 정말 잘먹구갑니다
24,간장게장,게장게장게장 마곡본점,서울 강서구 공항대로 269-15 힐스테이트에코 마곡 2층 220-1호 (A동 방향),0507-1365-0490,음식이 맛있어요 1182,친절해요 697,재료가 신선해요 672,매장이 청결해요 601,가성비가 좋아요 482,"점심시간때 같더니 가격도 할인되고 간장게장도 안짜고 너무 맛있고 살이 꽉 차있고 반찬 나오는 한상 구성도 좋고 너무 맛있게 먹고 가요 김가루,밥,버터는 서비스로 추가 가능해서 더 좋았어요  재방문의사 10000000%"
25,간장게장,대방골,서울 영등포구 국회대로 800 여의도파라곤 지하1층,02-783-4999,음식이 맛있어요 53,친절해요 25,매장이 넓어요 19,차분한 분위기에요 16,재료가 신선해요 14,엄마랑 한정식 먹으러 방문했어요!! 평일 점심이라 그런지 직장인들이 많았구요! 미리 예약하고 방문 하길 잘 한것 같아요  사이드들이 끝도 없이 나와서 엄마가 되게 마음에 들어하시더라구요 ㅋㅋㅋ 간장게장과 매생이 보리굴비 주문했는데 간장게장이 알이 가득차있어서 합격 회는 방어로 나왔는데 신선하구 두툼하더라구요 ㅠㅠㅠ 나중에 가족들이랑 다같이 와야겠어요 
26,간장게장,대문한정식,서울 도봉구 시루봉로 139-6,0507-1359-0843,음식이 맛있어요 586,친절해요 184,단체모임 하기 좋아요 181,재료가 신선해요 178,특별한 날 가기 좋아요 121,아빠 칠순이라 저녁식사 했는데 수라정식 먹었거든요 음식이 정갈하고 신선하고 맛도좋고 대접받는 느낌이라 좋았어요 여섯식구 모두 맛있게 식사해서 만족했구요 재방문의사 100프로 입니다잘먹었습니다 감사합니다 새해 복많이 받으세요 ^^
27,간장게장,프로간장게장 신사본점,"서울 서초구 강남대로97길 7 지하1.2층, 지상1층(잠원동)",02-543-4126,음식이 맛있어요 140,재료가 신선해요 68,친절해요 40,특별한 메뉴가 있어요 37,매장이 넓어요 27,"오랜만에 찾은 범죄현장.-간장게장. 알이 실하고 고소한 맛이 일품이다. 게장 전문집들의 일률적인 냉동 게장에서 맛보기 힘든 풋풋하고 신선한 게 맛을 느낄 수 있다.  함께 제공되는 다른 반찬도 좋지만, 결국 잘 익은 게장은 밥과 함께 먹어야 진가가 나온다. 끝내 밥 세 그릇을 먹어치운다. 단순 밥도둑이라 치더라도 이 정도 죄질이면 낮은 형량을 기대하긴 어렵겠다.프로간장게장. 게장계의 아마드 자말."
28,간장게장,산들해반포,서울 서초구 반포대로 287 고속터미널역 G1 출구,02-537-0113,음식이 맛있어요 840,매장이 넓어요 286,단체모임 하기 좋아요 280,가성비가 좋아요 254,재료가 신선해요 244,가성비는 좋아요직원 분은 바빠서 그런지 아주 불친절ㅠ음식은 평범 합니다엄청 맛있는 건 아니지만 가짓수가 많아요!어르신들이 많더라구요모임도 많이 하시는데소규모 의 인원은 예약도 안 되네요 ㅠ
29,간장게장,명량간장게장,서울 강서구 공항대로 261 발산파크프라자 2층 208호,02-6953-0002,음식이 맛있어요 201,재료가 신선해요 116,친절해요 113,매장이 청결해요 75,양이 많아요 68,"가까운 게장 집을 찾아서 맛있게 잘 먹고 왔어요. 명량특게장한정식 먹을만한 것만 잘 나오고 김치랑 반찬도 맛이 깔끔했어요. 돌솥밥 찰진 밥을 덜어 게 쭉쭉 짜넣고 게딱지까지 긁어 넣고 참기름 둘러 김에 말아 게간장 살짝 찍어 먹으면 딱 끝~ 반찬과 간장새우, 서대구이에 누룽지까지 배불리 잘 먹었어요. 게장 생각나면 또 먹으러 올게요~"
30,간장게장,섬집,서울 용산구 한강대로14가길 2 섬집,0507-1412-0368,음식이 맛있어요 444,친절해요 175,특별한 메뉴가 있어요 150,재료가 신선해요 146,양이 많아요 89,모임으로 갔는데 같이 가신분들도 만족하셔서 만족스러운 식사였습니다 용산에만 3호점까지 있고 워낙 인기가 많아 불친절할수도 있는데 사장님 정말 친절하시고 음식맛은 여전히 맛있네요 용리단길 근처에 살고있어 지인들에게 항상 추천해주는 맛집이고 다들 만족해하는 찐맛집입니다 오늘은 육전은 시키지 않았지만 꽃게매운탕과 육전조합 최고입니다
31,간장게장,강동반상,서울 강동구 상일로6길 39 지하1층,02-429-2733,음식이 맛있어요 404,매장이 넓어요 170,양이 많아요 141,단체모임 하기 좋아요 131,가성비가 좋아요 125,게장이 짜지도않고너무 맛있어요부모님 모시고 가기 너무 좋아요먹고나오는데 매실차도 인상깊어요
32,간장게장,서산꽃게,서울 마포구 도화길 12-3,02-719-9693,음식이 맛있어요 130,재료가 신선해요 67,특별한 메뉴가 있어요 36,친절해요 21,양이 많아요 15,리뷰에 불친절하다는 얘기가 있어서 설마 그럴까 했는데 진짜 불친절하셔서 기분 나쁘네요. 7시 반 정도에 손님들이 빠지고 치우시는 분위기길래 마감하시나봐요? 물었더니 그 쪽 벽에 붙어 있는데 안 보여요? 제가 벽쪽에 앉아서 고개를 돌려 보니 있길래 아 제가 벽쪽에 있어 안 보였어요. 라 했더니 건너편 벽에도 붙어 있는데 안 보여요?? 라고 또 쏘아붙이는데 싸우자는 건가 싶었네요. 말투만 듣자면 거의 눈ㄲ ㅏㄹ 뼜냐인데 그냥 분노조절장애인 것 같아서 참고 조용히 나왔네요. 맛이나 메뉴 구성은 4만원치고 훌륭하지만 왜 저러는 지 도저히 이해가 안 가서 절대로 안 가겠고 다른 사람들도 말리고 싶네요.
33,간장게장,수빈,서울 서대문구 연희로25길 31-3,02-307-9979,음식이 맛있어요 546,재료가 신선해요 181,단체모임 하기 좋아요 154,친절해요 141,주차하기 편해요 117,가족 모임 식사로 예약하고 처음 방문 했는데 착석 주문 후 30분 지나서야 음식이 나왔습니다 식객들이 많아서 어느정도 납득이 되는 부분~ 음식들은 생각한 만큼의 정갈한 한식 정식 한차림이였습니다 시그니처인 떡갈비는 괜찮았는데 나머지 간장 게장 조기 구이는 쏘쏘한 정도 오히려 주 메뉴 보다 기본 반찬들이 더 좋았습니다 기본 반찬들은 리필 가능합니다 주차 발렛 가능하구요 어떤 특별한 음식 레벨은 없지만 접근 가능한 가격대에 주차 편하고 편하게 먹을 수 있는 공간이 장점이지 않을까 생각합니다
34,간장게장,평해옥,서울 종로구 삼일대로26길 17,0507-1321-5992,음식이 맛있어요 452,재료가 신선해요 278,양이 많아요 276,친절해요 215,가성비가 좋아요 168,"엄마 모시고 싶고 온 곳이네요. 반찬도 너무 정갈하고 게장도 두가지나 나와서 양념, 간장 다 맛볼 수 있어서 좋았습니다. 한치무침도 입맛 돋궈주고 맛있어서 한 그릇 싹싹 다먹고 꽃게탕까지 나오니까요. 넘 대접받고 먹은 느낌이라서 좋아요. 한옥 개조 식당이라 분위기도 좋아서 또 올게요! 디저트까지 뿌시고 갑니다~~~!"
35,간장게장,게방식당,서울 강남구 선릉로131길 17 1층,010-8479-1107,음식이 맛있어요 230,재료가 신선해요 164,매장이 청결해요 159,친절해요 147,특별한 메뉴가 있어요 80,비리지 않고 정갈하게 차려진 게장한상 외국분들 진짜 많이 와요 ㅎㅎ 
36,간장게장,화해당 여의도점,서울 영등포구 국회대로62길 15 광복회관 1층 3호,02-785-4422,음식이 맛있어요 126,재료가 신선해요 57,친절해요 53,매장이 청결해요 47,특별한 메뉴가 있어요 32,맛있어요! 친절해서 기분좋게 식사했습니다
37,간장게장,중앙갈치식당,서울 중구 남대문시장길 22-12,02-752-2892,음식이 맛있어요 2138,가성비가 좋아요 638,양이 많아요 637,친절해요 504,재료가 신선해요 346,남대문시장 속의 찐로컬 맛집이네요. 갈치골목 안쪽에 위지하고 있어서 쭈욱 들어가다가 사람들이 줄서있길래 들어갔는데 갈치조림이 푹 고아진 무와 어우러져 맛있었어요. 함께나온 폭탄계란찜도 맛나고 기본찬으로나온 갈치튀김도 맛있게 먹었어요.
38,간장게장,홍익게장 홍대본점,서울 마포구 월드컵북로 59 1층,0507-1330-1112,음식이 맛있어요 154,가성비가 좋아요 94,양이 많아요 78,재료가 신선해요 66,친절해요 60,"홍익게장.게장이 너무 먹고싶어 찾은 홍익게장. 게장 가격도 합리적이고 맛도 합리적 주변 관광객들이 많이 찾는 sns맛집 느낌이 아닐까했는데 가성비 만족스럽게 잘먹었어요. 작은상은 간장+양념게장 무한리필인데 22,000원! 반찬 조합도 좋고 비쥬얼은 별로였는데 김치전이 넘 맛있었음  재방문 의사는 반반!"
39,간장게장,큰기와집,서울 종로구 북촌로 22,02-722-9024,음식이 맛있어요 137,재료가 신선해요 77,친절해요 51,비싼 만큼 가치있어요 44,반찬이 잘 나와요 41,꽃게 다리까지 친절하게 잘라주신 이모님 덕분에 잘먹고갑니다! 가격은 좀 비싸지만 가치있는 시간이었습니다.
40,간장게장,서산간장게장,서울 동대문구 장한로24길 7 1층,02-2217-3078,음식이 맛있어요 180,재료가 신선해요 79,매장이 넓어요 53,친절해요 46,특별한 메뉴가 있어요 26,명불허전 밥도둑 간장게장.. 너무너무 맛있습니다.... 사장님도 친절하셔서 행복한 식사가 되었어요
41,간장게장,기깔난게장 무한리필 장안동본점,서울 동대문구 장한로17길 13-10 1층 101호,02-2244-2001,음식이 맛있어요 238,가성비가 좋아요 150,친절해요 121,재료가 신선해요 116,양이 많아요 109,"정말 오랜만에 먹어본 게장이었어요. 간장 게장도 짜기만 한게 아니라 맛있게 짜면서 살이 실한게 좋았고, 양념도 맛있었어요! 많이 먹는 스타일이 아니라 많이 먹지는 않았지만 무한리필이라는 점이 좋았어요. 파전도 부쳐먹을 수 있었고 후라이도 해먹을 수 있었어요! 잘 먹었습니다!!"
42,간장게장,원조봉순게장,서울 서대문구 경기대로 26-26 B1-6호,0507-1357-2334,음식이 맛있어요 168,친절해요 62,가성비가 좋아요 51,매장이 청결해요 51,재료가 신선해요 47,"가성비좋게 게장 한정식 먹기 좋은 곳 여기입니다 여기요!!!!점심 게장정식 너무 맛있게 먹고왔어요ㅎㅎㅎ간장게장에 양념게장에 새우장까지 구성 진짜 알차구요....메인 간장게장도 짜지 않아서 좋았어요!!밑반찬 정말 다양하게 나오는데 하나같이 다 신선하고 맛있었어요!!!(부추겉절이 잡채 존맛,,)점심 정식 이 가격대에 이 구성으로 파셔도 가게 마진이 남는지 궁금...!!ㅎㅎ갑자기 게장이 땡겨서 열심히 찾다가 왔는데 싸게 넘 잘먹고 왔네요 다음에도 여기로 게장 먹으러 올게요~! 대박나세요"
43,간장게장,오다리집 간장게장,서울 강남구 논현로94길 7 2층,0507-1350-6769,음식이 맛있어요 185,재료가 신선해요 99,친절해요 82,가성비가 좋아요 46,양이 많아요 43,간장게장 짜지않고 맛나요
44,간장게장,꽃지 삼성점,서울 강남구 봉은사로 610,02-561-8788,음식이 맛있어요 130,재료가 신선해요 50,친절해요 45,특별한 메뉴가 있어요 32,매장이 넓어요 31,"삼성동에 유명한 간장게장 집입니다. 11:30에 오픈인데 주말에는 맞춰가면 자레 여유롭습니다. 간장게정 세트가 2인 44,000원인데 탕이 같이 나옵니다. 저는 1인 45,000원 하는 특간장게장정식에 런치 뚝배기꽃게탕을 따로 시켰습니다(특정식에는 1인 된장국만 나옵니다). 간장게장은 암케고 양념게장은 숫케인데 일단 아주 상태가 좋고 맛있고, 뜩배기꽃게탕도 굉장히 좋았습니다. 밥은 솥밥이 나오고 누룽지로 드실 수 있어요. 개인적으로는 신사동 프로간장게장보다 가성비 좋고 맛도 있었네요."
45,간장게장,일품진진수라 광화문점,서울 종로구 종로5길 7 타워8빌딩 지하 2층,0507-1430-8191,음식이 맛있어요 536,단체모임 하기 좋아요 339,친절해요 307,특별한 날 가기 좋아요 307,차분한 분위기에요 262,모두 룸으로 되어있어 주위 의식하지않고 식사하기 편하구요. 음식들이 깔끔하고 맛있어요. 밥이 젤로 맛있어요. 엄마도 만족하셨구요. 직원분들도 다들 친절하셔서 더 좋았어요. 주차는 건물 지하7층까지 있는데 밥먹고 2시에 나왔는데도 차가 많드라구요.
46,간장게장,신사꽃게당 본점,서울 강남구 강남대로160길 11 지상1층 신사꽃게당,0507-1466-0453,음식이 맛있어요 155,재료가 신선해요 104,친절해요 80,특별한 메뉴가 있어요 70,매장이 청결해요 65,"음식이 엄청 자극적이거나 하지 않아서 좋았어요! 밑반찬도 다 맛있고, 꽃게는 진짜 살이 많더라구요 ㅋㅋㅋㅋㅋ 숫게여도 살은 꽉찬!! 간장새우도 많이 안짜서 오히려 좋았고, 마지막에 라면사리는 꼭 추가해서 드세요!!! 완전 강추 "
47,간장게장,함초간장게장,서울 중구 명동8가길 27 지하 1층,02-318-1624,음식이 맛있어요 182,재료가 신선해요 136,양이 많아요 93,친절해요 85,가성비가 좋아요 65,6개월 임산부에요 ! 임산부는 생거 먹으면 안좋다 그랬는데 너무 먹고싶어서 참지 못하고 다녀왔어요 ㅜㅜ 먹으니 진짜 너무 살거같아요 입맛이 싹 돌고 입덧 끝난기분 .. 자주와야겠어요 ~ 남편이랑 맛있게 먹었습니다 ㅎㅎ
48,간장게장,게새장터,서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 107호,0507-1344-8455,음식이 맛있어요 117,친절해요 80,재료가 신선해요 67,특별한 메뉴가 있어요 48,매장이 청결해요 38,"간장게장을 좋아하는 우리 딸이 강남역 부근의 맛집을 찾았어요.오늘 처음 방문했는데, 완전 기대 이상의 맛난 간장게장과 연어장에 감동~~배는 부르지만 양념게장 안먹고 가면 아쉬울듯하여 추가로 주문했죠~~역시 기대 이상^^. 재료가 신선하고 크기가 큼직하니 보기에 먹음직스러워 보이기도하고 주인장님의 솜씨가 좋으시네요..정성스레 만드신 음식, 잘 먹고 갑니다~"
49,간장게장,영의정 여의도점,서울 영등포구 국제금융로 72 3층,02-761-0236,음식이 맛있어요 105,친절해요 64,차분한 분위기에요 40,매장이 청결해요 37,단체모임 하기 좋아요 33,연휴 끝나고 친구랑 여의도에서 만나서 같이 밥먹었어요 둘이 조용히 식사하고 싶어서 찾아간 곳인데 오붓하게 식사할수 있어서 좋았어요반찬도 구성이 괜찮았고요따뜻한 돌솥밥도.너무 좋았습니다.
